symbol,pnl,ret_pct,exit_reason,confirmed,tier,r72_pct,r24_pct,r6_pct,vr,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h
BICO/USDT,2256.07,6.75,pump_breakeven,False,B,15.0,28.0,15.0,2.1,0.89,38928.66,6.76,6.76,6.76,6.76,8.06,8.06,-1.17,-1.17
ALCX/USDT,1737.88,5.15,pump_lock_2pct,False,B,29.0,28.0,25.0,58.8,39.03,900.5,5.07,5.07,5.07,5.07,11.56,11.56,-0.13,-0.13
SFP/USDT,-2711.49,-7.41,pump_3h_down,False,B,33.0,33.0,19.0,32.0,0.97,36946.88,-4.86,-5.05,-7.32,-7.32,0.62,0.62,-7.81,-8.14
NEO/USDT,1619.44,4.85,pump_lock_2pct,False,B,31.0,25.0,27.0,40.2,19.38,1798.48,1.09,5.94,6.81,5.01,2.07,8.31,-1.34,-1.34
CKB/USDT,64105.33,52.93,pump_trailing_stop,True,B,23.0,23.0,14.0,3.7,0.02,5489790.18,-1.17,1.99,4.91,5.53,1.35,6.81,-1.82,-1.82
ONG/USDT,-1310.82,-2.68,pump_3h_down,False,B,-3.0,46.0,18.0,2.1,0.54,83995.14,-5.04,-2.81,-1.65,-0.62,1.65,1.65,-5.45,-5.86
NEO/USDT,-2573.21,-5.47,pump_3h_down,False,B,-0.0,27.0,14.0,2.4,22.72,2000.47,-1.94,-0.93,-4.36,-5.42,0.13,2.06,-2.38,-5.95
LPT/USDT,-2367.83,-1.35,pump_stagnation_exit,True,B,9.0,19.0,17.0,3.3,13.29,11287.99,-2.09,-0.68,4.59,5.47,0.41,7.64,-2.72,-4.33
JTO/USDT,643.63,1.63,pump_stagnation_exit,False,B,13.0,19.0,15.0,2.0,3.14,14306.43,-3.34,-2.54,0.28,-0.07,0.96,0.96,-3.34,-4.32
ONG/USDT,-2972.38,-6.45,pump_initial_stop,False,B,33.0,35.0,12.0,2.0,0.65,68825.94,-2.08,-6.44,-6.24,-6.24,1.55,1.55,-2.2,-10.9
LSK/USDT,-4083.45,-8.94,pump_3h_down,False,B,28.0,26.0,16.0,3.9,1.79,25033.22,-4.3,-8.89,-8.95,-8.95,4.43,4.43,-4.58,-12.59
ONT/USDT,-1787.13,-3.88,pump_3h_down,False,B,20.0,41.0,10.0,2.3,0.39,112046.15,-3.3,-2.99,-3.04,-3.89,-0.05,-0.05,-5.32,-5.32
JTO/USDT,3331.24,2.49,pump_stagnation_exit,True,B,34.0,27.0,10.0,2.1,3.48,41876.24,2.02,2.37,2.19,2.94,3.76,4.51,-0.74,-0.74
PUNDIX/USDT,1599.74,3.95,pump_lock_2pct,False,B,31.0,34.0,14.0,3.2,0.71,59875.83,4.0,4.0,4.0,4.0,12.15,12.15,-0.05,-0.05
MTL/USDT,-2761.5,-6.06,pump_3h_down,False,B,22.0,20.0,13.0,10.2,1.79,24608.22,-4.23,-5.01,-5.96,-5.96,0.9,0.9,-4.84,-7.52
SAGA/USDT,1231.36,1.03,pump_stagnation_exit,True,B,7.0,29.0,17.0,3.3,4.17,35263.89,-0.62,2.8,1.65,2.32,1.87,5.68,-2.94,-2.94
USTC/USDT,-2519.75,-5.47,pump_3h_down,False,B,27.0,21.0,21.0,16.0,0.02,2074104.37,1.77,0.34,-2.65,-3.81,4.26,4.26,-1.96,-4.26
BONK/USDT,2120.54,7.34,pump_breakeven,False,B,38.0,31.0,20.0,7.5,0.0,1526207763.69,0.26,-3.49,-0.41,7.44,1.9,8.78,-0.36,-4.41
1000SATS/USDT,-12703.9,-6.46,pump_lock_2pct,True,B,37.0,23.0,21.0,4.5,0.0,515478702.51,3.62,7.73,6.76,9.9,5.7,11.22,-0.05,-0.05
HBAR/USDT,-4035.48,-17.44,pump_initial_stop,False,B,98.0,98.0,19.0,6.0,0.18,129406.0,-17.4,-17.4,-17.4,-17.4,0.97,0.97,-18.64,-18.64
