symbol,pnl,ret_pct,exit_reason,r72_pct,r24_pct,r6_pct,vr,regime,sig,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h,high_1h,high_4h,low_below_entry_1h,low_below_entry_3h
SSV/USDT,-929.19,-0.53,pump_time_exit,35.0,25.0,23.0,2.6,WARM,early,50.635305,2501.18,1.61,3.09,3.27,6.53,4.61,7.14,-1.27,-1.27,True,True,True,True
RAY/USDT,-9356.41,-14.5,pump_3h_down,94.0,87.0,40.0,3.7,HOT,early,2.626913,24251.38,-4.09,-3.88,-6.08,-14.52,1.58,1.58,-6.42,-17.48,True,True,True,True
FIDA/USDT,-12538.4,-10.39,pump_3h_down,26.0,41.0,16.0,3.1,HOT,early,0.686843,172578.03,-5.36,-3.03,-5.77,-10.36,2.21,2.21,-6.97,-12.13,True,True,True,True
PHA/USDT,-5506.41,-6.84,pump_3h_down,47.0,52.0,14.0,3.8,WARM,early,0.305453,256290.65,0.7,-0.97,-1.65,0.28,6.4,6.4,-0.74,-2.67,True,True,True,True
RLC/USDT,-3313.79,-2.67,pump_stagnation_exit,2.0,20.0,16.0,7.3,WARM,early,4.157078,27775.85,-0.12,-0.99,1.32,1.2,0.84,2.45,-1.28,-1.28,True,True,True,True
JOE/USDT,-4025.19,-2.83,pump_time_exit,46.0,29.0,17.0,1.9,WARM,early,1.08014,123115.07,-4.68,-1.3,-1.2,2.06,0.67,6.47,-4.92,-5.83,True,True,True,True
STX/USDT,-858.18,-0.59,pump_stagnation_exit,22.0,23.0,13.0,2.0,HOT,early,3.390394,32091.93,1.51,0.04,0.83,1.14,4.65,4.65,-0.82,-1.17,True,True,True,True
POLYX/USDT,46192.09,46.87,pump_trailing_stop,29.0,45.0,11.0,1.9,HOT,early,0.298349,332089.83,0.45,9.0,14.33,17.98,1.86,29.04,-0.75,-2.09,True,True,True,True
CVC/USDT,-3064.18,-2.96,pump_initial_stop,108.0,89.0,80.0,60.3,WARM,early,0.293046,330687.09,-2.95,-2.95,-2.95,-2.95,1.62,1.62,-10.08,-10.08,True,True,True,True
CVC/USDT,-4479.02,-4.74,pump_3h_down,99.0,82.0,75.0,76.6,WARM,early,0.284642,319161.88,-2.51,-2.76,-4.79,-4.79,0.09,0.09,-5.14,-7.57,True,True,True,True
CVC/USDT,-1082.38,-1.28,pump_profit_protect,91.0,71.0,57.0,60.6,WARM,early,0.271436,269980.55,4.48,4.41,9.53,12.11,7.94,21.21,-1.12,-1.12,True,True,True,True
TFUEL/USDT,-3958.8,-4.9,pump_3h_down,23.0,27.0,23.0,164.1,WARM,early,0.104842,741789.15,-3.8,-1.9,-3.28,-4.86,5.9,5.9,-5.38,-7.38,True,True,True,True
XEC/USDT,-1324.27,-0.81,pump_time_exit,26.0,25.0,16.0,5.9,HOT,early,6.1e-05,2166093437.53,-2.14,7.07,6.72,8.14,0.03,11.53,-3.74,-3.74,True,True,True,True
PENDLE/USDT,-3498.71,-2.61,pump_time_exit,8.0,19.0,13.0,2.5,WARM,early,5.736867,21706.06,6.17,12.67,11.86,9.23,6.26,16.27,-0.07,-0.07,True,True,True,True
VIC/USDT,-7482.52,-5.99,pump_3h_down,18.0,21.0,14.0,19.2,WARM,early,1.091546,110890.67,-2.98,-5.77,-4.7,-5.42,0.59,0.59,-3.5,-7.0,True,True,True,True
CKB/USDT,66923.07,56.09,pump_trailing_stop,23.0,23.0,14.0,3.7,WARM,early,0.02172,5518716.44,-1.17,1.99,4.91,5.53,1.35,6.81,-1.82,-1.82,True,True,True,True
ONG/USDT,-4386.62,-2.68,pump_3h_down,-3.0,46.0,18.0,2.1,WARM,early,0.542571,281086.99,-5.04,-2.81,-1.65,-0.62,1.65,1.65,-5.45,-5.86,True,True,True,True
NEO/USDT,-8558.14,-5.47,pump_3h_down,-0.0,27.0,14.0,2.4,WARM,early,22.721355,6653.3,-1.94,-0.93,-4.36,-5.42,0.13,2.06,-2.38,-5.95,True,True,True,True
LPT/USDT,198.69,0.34,pump_stagnation_exit,9.0,19.0,17.0,3.3,HOT,early,13.28564,10991.87,-2.09,-0.68,4.59,5.47,0.41,7.64,-2.72,-4.33,True,True,True,True
ONG/USDT,-9710.43,-6.45,pump_initial_stop,33.0,35.0,12.0,2.0,WARM,early,0.649925,224846.74,-2.08,-6.44,-6.24,-6.24,1.55,1.55,-2.2,-10.9,True,True,True,True
ONT/USDT,6736.48,4.87,pump_stagnation_exit,20.0,29.0,17.0,3.8,WARM,early,0.372386,388143.13,-4.75,-2.74,-2.49,1.91,1.78,5.56,-4.96,-9.99,True,True,True,True
